48
1
0.475 0.4 300.0
0.55 0.25 270.0
0.475 0.3 270 0
0.55 0.25 270.0 1
0.425 0.25 225 0
0.55 0.15 270.0 1
0.425 0.25 0 0
0.55 0.05 270.0 0
0.525 0.25 0 0
0.65 0.05 0.0 0
0.525 0.15 270 0
0.75 0.05 0.0 0
0.575 0.1 315 1
0.75 0.05 0.0 1
0.625 0.05 315 0
0.85 0.05 0.0 0
0.725 0.05 0 1
0.95 0.05 0.0 0
0.725 0.05 0 1
0.95 0.15 90.0 0
0.825 0.05 0 0
0.95 0.25 90.0 0
0.925 0.1 26 0
0.95 0.35 90.0 0
0.925 0.2 90 1
0.95 0.45 90.0 0
0.975 0.3 63 0
0.95 0.45 90.0 0
0.975 0.4 90 1
0.95 0.55 90.0 0
0.975 0.4 90 1
0.95 0.65 90.0 0
0.975 0.5 90 1
0.95 0.75 90.0 0
0.975 0.6 90 1
0.95 0.75 90.0 0
0.975 0.7 90 1
0.95 0.75 90.0 0
0.875 0.65 206 0
0.95 0.75 90.0 1
0.875 0.65 0 0
0.95 0.85 90.0 0
0.925 0.75 63 1
0.85 0.95 135.0 0
0.875 0.85 116 1
0.75 0.95 180.0 1
0.825 0.9 135 1
0.65 0.95 180.0 1
0.725 0.95 153 1
0.55 0.95 180.0 1
